theta
1.430711147010220152e+01
5.604915470948777312e+01
2.289280204874348357e+01
3.650382666157776068e+00
6.243041542557691059e+01
1.864148022869108843e+02
9.711928957078296776e+01
1.580991634361529918e+02
1.103753832695053632e+02
